title,review_text,true_label
This is a great book,"I must preface this by saying that I am not religious - but I loved this book. I really enjoyed the story it was telling. To me this is more a story about where we come from as women, rather than some religious/biblical treatise. Reading this book you can really feel a connection with the character Dinah and the writer brings to life her world with colorful vividness. This book has an almost feminist feeling and to my great amusement paints Jacob as a villainous man who personifies most of the worst qualities one can have. This story sucked me in and I read it practically in one sitting. It was one of the best books I have read in a while.",1
Huge Disappointment.,"As a big time, long term Trevanian fan, I was extremely disappointed in this ""experiment"" by the author. I deem this effort an experiment since it is so unlike anything ""Trev"" (as his fans call him) has ever written before. Plain flat-out boring! It's almost as if Jane Austen had attempted to write a Twilight Zone episode under the influence of Sominex.",0
Wayne is tight but cant hang with Turk.,This album is hot as it wants to be. However Cash Moneys best album ever is Turks Young and Thuggin. So better luck next time Wayne,1
Excellent,"I read this book when I was in elementary school- probably fourth grade. I read a lot of books, but this one stuck with me and I still consider it to be one of my favorites. I just recently remembered the title (after seeing crows out my window) and may have to buy myself a copy.",1
Not about Anusara,"Although this book is touted on several Anusara web sites as a book about Anusara, I found it to be more about self-loathing and a poor body image. From cover to cover, the author rehashed her, and other's, disfunctions and poor self-esteem related to a poor body image and eating disorders.Now, if you fall into any of the afore mentioned catagories, you may find this book for you. If not, it's a waste of time. (I too have looked in the mirror during a yoga session and thought, jeez, I'm going to have to not eat for the next month...., but I didn't dwell on it. And I don't consider a new pedicure when gazing at my feet in down dog.)My truly, heart felt advice to those of you whom this book will speak to is, spend less time on the mat and more in meditation, until you get your mind under control. I am saddened for anyone who is their own worst enemy. Life is too short.Yoga, and all it's attendant traditions, are so much more. Let it be so for you.",0
Worst DVD Ever purchased,"This was the very worst DVD that I have ever purchased. The technical quality was so bad that Fisher's features were unrecognizable. Musical tone production was simply atrocious. I could go on and on but really do not feel like wasting any more time on this piece of crap. Why does Amazon even put something this bad on the market for sale? I would really, really like my $$$ back, Amazon. Your faithful customers deserve far, far better from you. The back of the DVD cover says it all: ""THIS DVD IS NOT ENDORSED BY EDDIE FISHER."" Only five copies left?? If you have any mercy on your customers and you care about preserving your reputation as a reputable dealer of halfway marketable products, you will withdraw them immediately. To sell something this horrible is, in my opinion, disreputable and a disgrace to your reputation.",0
"Not the strongest fan, but gets the job done.","I wasn't sure if I should upgrade and spend $80 on a nice window fan, so I decided to risk it and go for something a little more low budget. This isn't the strongest fan in the world, but it does suck enough air in from outside to cool my bedroom down. Not super noisy or difficult to use. For the price, I'm pretty happy with my purchase.",1
Bottom of the casebook barrel,"At the beginning of this, my first year of law school, I didn't think too much about my actual casebooks. After a couple months, I began to think more about their layout, the organization, case notes, questions, indexes, etc. I began to have favorites, and some that I was less fond of. But until I saw this casebook, I didn't realize casebooks could be so awful. This casebook is badly in need or further organization, better headings, a better table of contents, better editing - in short, all of the details that make or break a casebook.Just to be clear, I am reviewing the second edition, published in 2009. I have also seen the first edition, and the best I can say is that this is, in fact, a significant improvement over the first attempt. But it has a long way to go before any 1L is going to be happy with it.",0
Hilarious!,"This movie is very sweet, I love it. And it's so funny, omigod! My favorite part is when Joy finds her mother feeding her *pet* chicken, and she goes, ""Ma! Ya fed the chicken chicken?""",1
"The swinging, sadly, occurs only in the title.","Sad to say, Jason and his sidemen do not swing on this disk, and one might deduce from its quality that they don't swing anywhere else, either. Their stated ethic is admirable. But the good words don't stand in for good playing, and there is precious little of that on this album. The pianist plays passably, however.",0
Planets,"My son loves it! A hint of hanging this product, tie the line to the thumbnails first, than put them up.",1
WARNING: Made in China!,"I was just about to give these to my dogs and realized that they are made in China. Unfortunately I realized too late and cannot return them. In the trash they go. They could be a good product, but I'm not going to take a chance. I've heard too many scary stories about treats and food from China. My pets are not worth taking that risk with.",0
Didnt even work,"My little guy was highly dissapointed, the game did not even work. He had even spent his allowance on it :(",0
"Weak on content depth & breadth, editing, cookbook approach","This was a very disappointing book.Examples are simplistic and not well thought out. There are very basic shells for doing some parsing tasks a lot of different ways, but very shallow or missing rationale for the different alternatives. It felt like the author came up with a bunch of solutions without understanding the problems XML can address. Having E-Commerce in the title is a joke that hangs on one of the recurring examples throughout the book.Numerous gramatical and content errors. The structure of the book is light as well - examples before concepts and lots of white space & big type.",0
Just another guy who gave it 1 star to bring down the rating,"If you truly wish to learn what the media elite is and what is factual news, watch FOX News Channel for Bias News and CNN for semi unbiased news, and C-SPAN for fair news.",0
NOT for preschoolers and up,"This chair claims to be for ages 3 to 8, but my 5-year-old barely fits on it. I bought it to go with his kid sized desk, but this chair is so little that he has to reach up for the keyboard. The chair is probably fine for 3 to 4-year-olds, but that is about it. It does go together easily and is lightweight, so it does make a nice chair for the right sized child. The price is right, but unfortunately, that means I'm stuck with a pint sized chair because it is not worth the expense of return shipping. Very disappointed. I would not have ordered it had the description been accurate!",0
Brilliant!!!!,Quick shipping! I was pleasantly surprised when I saw this ring in person. It catches the sunlight and sparkles like crazy! You won't be disappointed if you order this.,1
not silent by any means,"I got today the HSF and replaced the original HSF with the SILET BOOST RX. Don't be fooled. It is not silet by any means. I would say it is even louder than the original stock fan. I own AMD 2000 Athlon XP, and it did not silence my box. Also The temperatures are still in mid 40's on idle.I would say it is a waste of money. Get Zelman or something else. Not this one.",0
Yu Yu Hakusho: Ghost Files - The Complete Third Season,Perfect for a fan of the show who loves it being uncensored and not having to worry about missing an episode because you have the entire season at your finger tips!,1
Stunningly bad,"To be honest, I was stunned by this album. The singing is just unspeakably bad! Had I known beforehand that the performance on this album is so poor, I wouldn't have bought this album even if it had cost a quarter of its price.It's indecent for any artist or recording company to sell an album at full price when the quality of it is so low.",0
"would be a great product, but...","I got this frame as a Mother's Day present for my mom. I loaded up an SD card and installed it for her. It's very easy to set up and use. But I was very disappointed to discover that even though it is a wide-screen viewer (modes for aspect ratio of 4:3 and 16:9), the 16:9 mode is COMPLETELY USELESS!! It STRETCHES regular images to make them fit the screen. What kind of idiot thought of that??? I have a bunch of panoramic pics from our family reunion I wanted to be able to display in the full wide-screen mode, but since they're only displayable in 4:3 mode, they shrink down to fit within the smaller dimensions which makes it hard to see the detail.If not for that one major problem, this would have been a great gift for Mom.",0
Unfortunately,"I'm a fan of the Dark series Ms. Feehan has written. Unfortunately, I'm just going to be blunt and say that this book bored me. It's almost as if she was bored herself writing this book. I got it sometime last year, got through half of it and haven't finished it yet, and I've never done that with a book in my entire life. This is something I would not suggest for anyone to buy.",0
A failure,"This is the first book by Billy Collins that I have read, and so I must admit that my opinion may be relatively uninformed, although I think it is safe enough to assume that this is a fair representation of his work thus far. It seems to me that Collins' preoccupation with accessibility has overpowered his poetry, if indeed the contents of this book can be said to be poems at all, rather than cut-up prose. Dullness is the recurring characteristic of the collection, and the famous Collins charm wears thin very quickly. The value of poetry lies in how something is said, rather than what is said, and Sailing Alone Around the Room does not provide that value.",0
Dark Hunter,"It was a great read. Sexy, fun and a little out there. If you like mythology it's a must read.",1
